presence_handle,published_at,report_generated_at,captured_at,caption,image,post_link,total_spend,post_type,reach_organic,reach_paid,engagement_total,engagement_total_organic,engagement_total_paid,engagement_rate_by_reach_organic,engagement_rate_by_reach_paid,engagement_rate_by_impression,engagement_rate_by_impression_organic,engagement_rate_by_impression_paid,post_reach_rate_by_follower_organic,post_reach_rate_by_follower_paid,likes,likes_organic,likes_paid,comments,comments_organic,comments_paid,saves,saves_organic,saves_paid,shares,shares_organic,shares_paid,impressions,impressions_organic,impressions_paid,followers,video_views,video_views_organic,video_views_paid,video_view_rate_by_impression,video_view_rate_by_impression_organic,video_view_rate_by_impression_paid,video_views_per_user_organic,video_views_per_user_paid,carousel_photoper_video_posts,carousel_photo_posts,carousel_video_posts,clicks_paid,follows_organic,profile_views_organic,profile_interactions_organic,profile_bio_link_clicks_organic,profile_other_interactions_organic,social_engagement_total,social_engagement_total_organic,social_engagement_total_paid,social_engagement_rate_by_reach_organic,social_engagement_rate_by_reach_paid,social_engagement_rate_by_impression,social_engagement_rate_by_impression_organic,social_engagement_rate_by_impression_paid,engagement_rate_by_follower,post_tag_ugc,post_tag_contests
@bmw_indonesia,2024-03-20 09:25:21,2024-04-03 11:10:07,2024-04-03 10:11:26,"This Ramadan, join us at 'Drive For Change Ramadan On Tour' to get up close with THE iX1 and see THE NEW i4 eDrive35 for the first time.  For more information, please contact your preferred BMW Authorized Dealer.",https://d1cdkkfhgor70g.cloudfront.net/C4uB6m9v3gd?postNativeId=17846410662167444,https://www.instagram.com/p/C4uB6m9v3gd,0,Carousel,4340,0,177,177,0,0.04078341013824885,0,0.03219938148080771,0.03219938148080771,0,0.01300740882825425,0,152,152,0,2,2,0,6,6,0,,,0,5497,5497,0,333656,,,0,,,0,,0,2,2,0,0,,,,,,154,154,0,0.035483870967741936,0,0.02801528106239767,0.02801528106239767,0,0.000530486489078572,0,0
@bmw_indonesia,2024-03-26 22:13:48,2024-04-03 11:10:07,2024-04-03 10:11:26,"The joy of owning a BMW comes with complete peace of mind. #WhateverHappens BMW Service is up to the tusk, so you can focus on what matters the most – Sheer Driving Pleasure. —  BMW i5 eDrive40​: Combined power consumption: 15.9 kWh/100 km. Combined CO2 emissions: 0 g/km. Electric range: 472–582 kilometer (WLTP). *The animals were treated with care and respect, never subjected to abuse or overworking. We collaborated with animal welfare experts for their well-being. #WhateverHappens, Relax. We Care.",https://d1cdkkfhgor70g.cloudfront.net/C4-2h7zS0dg?postNativeId=17905388891858752,https://www.instagram.com/p/C4-2h7zS0dg,0,Reel,8942,0,404,404,0,0.04518004920599419,0,0.04198711286634795,0.04198711286634795,0,0.02677694463742424,0,375,375,0,1,1,0,11,11,0,17,17,0,9622,9622,0,333944,9622,9622,0,1,1,0,1.0760456273764258,0,,,,0,,,,,,376,376,0,0.042048758666964885,0,0.0390771149449179,0.0390771149449179,0,0.0012097836763050093,0,0
@bmw_indonesia,2024-03-22 12:45:47,2024-04-03 11:10:07,2024-04-03 10:11:26,"Introducing the BMW Vision Neue Klasse X: A captivating glimpse into the future of our BMW X models. 100% electric, fully digital, and committed to circularity. #THEVisionNeueKlasseX #NeueKlasse #EverlastingJOY",https://d1cdkkfhgor70g.cloudfront.net/C4ziTBPyb5c?postNativeId=17908286846929780,https://www.instagram.com/p/C4ziTBPyb5c,0,Reel,7751,0,381,381,0,0.04915494774867759,0,0.045131485429992894,0.045131485429992894,0,0.023230512863548086,0,335,335,0,0,0,0,13,13,0,33,33,0,8442,8442,0,333656,8442,8442,0,1,1,0,1.089149787124242,0,,,,0,,,,,,335,335,0,0.043220229647787385,0,0.03968253968253968,0.03968253968253968,0,0.0011418946459826889,0,0
@bmw_indonesia,2024-03-11 20:00:30,2024-04-03 11:10:07,2024-04-03 10:11:26,"Welcoming Ramadan, where the warmth of togetherness and the spirit of giving intertwine to create #EverlastingJOY in every journey.",https://d1cdkkfhgor70g.cloudfront.net/C4X_cqKxEPj?postNativeId=17963696636604433,https://www.instagram.com/p/C4X_cqKxEPj,0,Photo,6831,0,324,324,0,0.04743083003952569,0,0.04385489983757444,0.04385489983757444,0,0.02049449609821517,0,297,297,0,2,2,0,6,6,0,19,19,0,7388,7388,0,333309,,,0,,,0,,0,,,,0,2,39,0,0,0,299,299,0,0.04377104377104377,0,0.04047103410936654,0.04047103410936654,0,0.0009720709611801662,0,0
@bmw_indonesia,2024-03-11 08:00:30,2024-04-03 11:10:07,2024-04-03 10:11:26,"Within the peaceful hush, where silence reigns supreme, we embrace the Saka New Year with hearts resonating in #EverlastingJOY. Happy Nyepi Day.",https://d1cdkkfhgor70g.cloudfront.net/C4WtDI7KPWL?postNativeId=17991803273385543,https://www.instagram.com/p/C4WtDI7KPWL,0,Photo,6392,0,322,322,0,0.050375469336670836,0,0.04627766599597585,0.04627766599597585,0,0.019177399950196364,0,308,308,0,0,0,0,4,4,0,10,10,0,6958,6958,0,333309,,,0,,,0,,0,,,,0,1,48,1,1,0,308,308,0,0.04818523153942428,0,0.04426559356136821,0.04426559356136821,0,0.0009660705231481898,0,0
@bmw_indonesia,2024-03-08 13:21:29,2024-04-03 11:10:07,2024-04-03 10:11:26,"Marking International Women’s Day, we celebrate Esther Mahlangu and Stella Clarke, pioneers in art and technology. Esther’s famous 1991 BMW Art Car now uses E Ink on the BMW i5 Flow NOSTOKANA at #FriezeLA. Stella led BMW’s E Ink innovation, seen in the BMW iX Flow (2022) and BMW i Vision Dee (2023). Their collaboration blends traditional art with modern tech, symbolizing female empowerment. The BMW i5 Flow NOSTOKANA, with vibrant colors, intricate patterns, and sound integration, makes art accessible to all, spreading #EverlastingJOY. #InternationalWomensDay",https://d1cdkkfhgor70g.cloudfront.net/C4PjZocSsSo?postNativeId=17999711687445316,https://www.instagram.com/p/C4PjZocSsSo,0,Carousel,14242,0,967,967,0,0.06789776716753265,0,0.05491821899136756,0.05491821899136756,0,0.04272911922570348,0,877,877,0,2,2,0,23,23,0,,,0,17608,17608,0,333309,5531,5531,0,0.31411858246251706,0.31411858246251706,0,0.38835837663249545,0,5,2,3,0,,,,,,879,879,0,0.06171885971071479,0,0.0499204906860518,0.0499204906860518,0,0.0029012117884605576,0,0
@bmw_indonesia,2024-03-18 17:00:13,2024-04-03 11:10:07,2024-04-03 10:11:26,"Feel the high-performance and exclusivity in THE X4M, boasting 510 horsepower and accelerating from 0-100 km/h in just 3.8 seconds. With its dynamic handling, courtesy of Adaptive M Suspension and M Sport brakes, every drive becomes a symphony of precision and #EverlastingJOY. Visit our website or connect with @bmw.eurokars, to explore more about THE X4M. #TheUltimateBMW",https://d1cdkkfhgor70g.cloudfront.net/C4psYdQOfP0?postNativeId=18006082769171918,https://www.instagram.com/p/C4psYdQOfP0,0,Carousel,6429,0,385,385,0,0.05988489656245139,0,0.048938604296428115,0.048938604296428115,0,0.01926834823890474,0,359,359,0,5,5,0,8,8,0,,,0,7867,7867,0,333656,,,0,,,0,,0,3,3,0,0,,,,,,364,364,0,0.05661844765904495,0,0.046269225880259314,0.046269225880259314,0,0.0011538830412161029,0,0
@bmw_indonesia,2024-03-27 12:32:30,2024-04-03 11:10:07,2024-04-03 10:11:26,"More dynamic than ever, featuring a wealth of digital innovations and, for the first time, all-electric drive, we proudly introduced the 8th generation of the world’s best-selling business sedan, the BMW i5 eDrive40 M Sport.  Alongside this launch, we also introduced our unwavering commitment to ensuring uninterrupted Sheer Driving Pleasure for all BMW customers through RELAX. WE CARE. For #WhateverHappens, rest assured, we'll be there to help you.  Contact your BMW authorized dealer to learn more about THE i5 and our array of BMW services, or visit bmw.co.id for more information. #THEi5 #AllElectricBusinessSedan #WhateverHappens #EverlastingJOY",https://d1cdkkfhgor70g.cloudfront.net/C5AY5hVywSz?postNativeId=18006871238169652,https://www.instagram.com/p/C5AY5hVywSz,0,Carousel,6857,0,588,588,0,0.08575178649555198,0,0.07134190730405242,0.07134190730405242,0,0.020533382842632297,0,536,536,0,4,4,0,18,18,0,,,0,8242,8242,0,333944,,,0,,,0,,0,7,7,0,0,,,,,,540,540,0,0.0787516406591804,0,0.06551807813637467,0.06551807813637467,0,0.0017607742615528353,0,0
@bmw_indonesia,2024-03-01 10:00:44,2024-04-03 11:10:07,2024-04-03 10:11:26,"Start your electrifying adventures beyond boundaries with the 100% electric BMW iX1. Its compact SAV, exhilarating performance, and seamless tech guarantee #EverlastingJOY on your journey. Explore THE iX1 eDrive20 M Sport further by tapping the link in our bio, or connect with your preferred authorized BMW dealer. #ElectrifyYourDreams",https://d1cdkkfhgor70g.cloudfront.net/C39K2NANFdu?postNativeId=18011343764333542,https://www.instagram.com/p/C39K2NANFdu,0,Reel,5466,0,200,200,0,0.03658982802780827,0,0.03732736095558044,0.03732736095558044,0,0.016399197141391323,0,173,173,0,1,1,0,11,11,0,15,15,0,5358,5358,0,333309,5358,5358,0,1,1,0,0.9802414928649835,0,,,,0,,,,,,174,174,0,0.031833150384193196,0,0.032474804031354984,0.032474804031354984,0,0.0006000438031976334,0,0
@bmw_indonesia,2024-03-23 12:16:05,2024-04-03 11:10:07,2024-04-03 10:11:26,"THE NEW i4 eDrive35 redefines the future of electric driving. With its sporty shape and sophistication, it leaves a striking impression on the road. Featuring 400 Nm of torque, it achieves an electric range of up to 490 km. This latest variant of THE i4 offers exceptional value, combining affordability with excellence. To see THE NEW i4 eDrive35 up close, visit our selected dealers during ‘Drive For Change Ramadan On Tour’ until 23 March. For more information, contact your preferred authorized BMW dealer. #EverlastingJOY",https://d1cdkkfhgor70g.cloudfront.net/C42D1uWy5R7?postNativeId=18017720519177220,https://www.instagram.com/p/C42D1uWy5R7,0,Carousel,10695,0,892,892,0,0.0834034595605423,0,0.06986762747708937,0.06986762747708937,0,0.03205397175534083,0,823,823,0,7,7,0,35,35,0,,,0,12767,12767,0,333656,,,0,,,0,,0,4,4,0,0,,,,,,830,830,0,0.07760635811126694,0,0.06501135740581186,0.06501135740581186,0,0.0026734121370513343,0,0
@bmw_indonesia,2024-03-13 20:18:48,2024-04-03 11:10:07,2024-04-03 10:11:26,"With its striking presence, bold lines, and race-inspired engineering, THE X3M commands the road and ignites your passion for driving. From city streets to off-road adventures, it delivers #EverlastingJOY on wheels like no other. To discover more about THE X3M, visit our website or get in touch with @bmw.eurokars. #TheUltimateBMW",https://d1cdkkfhgor70g.cloudfront.net/C4dLIgLvIW2?postNativeId=18027563275942858,https://www.instagram.com/p/C4dLIgLvIW2,0,Carousel,6211,0,342,342,0,0.055063596844308484,0,0.04508304771948326,0.04508304771948326,0,0.018634360308302508,0,324,324,0,0,0,0,7,7,0,,,0,7586,7586,0,333309,,,0,,,0,,0,3,3,0,0,,,,,,324,324,0,0.052165512799871194,0,0.0427102557342473,0.0427102557342473,0,0.001026074903467953,0,0
@bmw_indonesia,2024-03-22 15:08:03,2024-04-03 11:10:07,2024-04-03 10:11:26,"Engage with THE iX1 and THE NEW i4 eDrive35, paving the way towards the future of driving pleasure. Visit Ramadan On Tour at our selected dealers until 23 March 2024. For more info, contact your preferred authorized BMW dealer.",https://d1cdkkfhgor70g.cloudfront.net/C4zyWWVS2c9?postNativeId=18035171362882984,https://www.instagram.com/p/C4zyWWVS2c9,0,Reel,4694,0,221,221,0,0.04708138048572646,0,0.0443953394937726,0.0443953394937726,0,0.014068381806411394,0,184,184,0,8,8,0,6,6,0,23,23,0,4978,4978,0,333656,4978,4978,0,1,1,0,1.0605027694929698,0,,,,0,,,,,,192,192,0,0.04090328078397955,0,0.038569706709521895,0.038569706709521895,0,0.0006623588366461266,0,0
