sep=,
"Network","Page Name","Published time (UTC)","Post Type","Placement","Dark","Promoted","Reshare","Post text","Post URL","Post ID","Engagements","Reach avg.","Engagement rate (reach)","Plays"
"INSTAGRAM","BMW Indonesia","2022-12-31 11:51:34","REELS","REELS","No","No","No","Happy new year 2023 from BMW Indonesia!  #BMWIndonesia #BornElectric #DrivenByTheBest #SheerDrivingPleasure #NewYearGreetings","https://www.instagram.com/reel/Cm1MywMIQuJ/","17968707443036903","265","9118","2,91","9185"
"INSTAGRAM","BMW Indonesia","2022-12-24 11:59:52","REELS","REELS","No","No","No","It’s the season of embracing the joyous moments as you ride into the new years.  Merry Christmas and have a joyful holiday!  #BMWIndonesia #BornElectric #DrivenByTheBest #SheerDrivingPleasure #SeasonsGreetings","https://www.instagram.com/reel/CmjK_YtI8nd/","17991715015720088","169","7553","2,24","6556"
"INSTAGRAM","BMW Indonesia","2022-12-16 13:26:00","REELS","REELS","No","No","No","Are you ready for the future of driving pleasure?  Experience dynamic driving and emotionally powerful sound moving in concert for an electrifying driving pleasure.  BMW IconicSound Electric has the perfect soundtrack for your personal story boarding THE BMW i Series. To learn more about our electric vehicles, visit bmw.co.id/electricvehicle  #BornElectric #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure #JoyIsElectric  — Brought to you by Hans Zimmer, the Academy Award-winner composer and BMW Group Creative Director Sound Renzo Vitale.","https://www.instagram.com/reel/CmOvxDCPcUD/","18003681091534259","274","11694","2,34","11706"
"INSTAGRAM","BMW Indonesia","2022-12-07 08:39:04","REELS","REELS","No","No","No","There’s no need for us to imagine the future, because we are the future. We are #BornElectric.  Visit our website at www.bmw.co.id/electricvehicle and learn more about our electric vehicles.  #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure #JoyIsElectric","https://www.instagram.com/reel/Cl3DnLAuPL1/","17879567024729158","392","11874","3,3","12426"
"INSTAGRAM","BMW Indonesia","2022-12-04 13:14:17","REELS","REELS","No","No","No","It’s not us if we don’t pay attention to details. So here are some details of THE NEW 3.  BMW 330i M Sport interior is made of Sensatec upholstery with exclusive M contents. With the amplified sporty experience, you’d be protected by the new front design that includes standard Adaptive LED Headlights.  What’s your favorite part of THE NEW 3?  #JoyofEvolution #Legacy3volved #THENEW3 #SheerDrivingPleasure #DrivenByTheBest #BMWIndonesia","https://www.instagram.com/reel/Clv05gOrKA9/","18155665786272608","927","19643","4,72","19599"
"INSTAGRAM","BMW Indonesia","2022-12-04 09:02:16","REELS","REELS","No","No","No","Hitting the road with THE NEW 3 on this fine Sunday morning alongside @adiniawrst and our lucky test drive winner, @adrianliee.   Today is your last chance to test drive the evolving legacy only at the Plaza Senayan fountain area. Enjoy driving dynamics on a whole new level with THE 3’s technological innovations. Don’t miss it!  #JoyofEvolution #Legacy3volved #THENEW3 #SheerDrivingPleasure #DrivenByTheBest #BMWIndonesia","https://www.instagram.com/reel/ClvX_zUMPag/","17936376785393259","379","10920","3,47","10641"
"INSTAGRAM","BMW Indonesia","2022-12-04 02:22:48","REELS","REELS","No","No","No","Now you can get behind the wheels of the evolving legacy and experience the improved, THE NEW 3 just like @bams_1606 did.  Enjoy the the all-around improvement, advanced technology of BMW iDrive 8 with curved display, made exclusively for your maximum sheer driving pleasure.  Grab your chance to test drive only until today, 4 December 2022, at Plaza Senayan Fountain & Wing Area.  #JoyofEvolution #Legacy3volved #TrackLegend #THENEW3 #THEM4CSL #SheerDrivingPleasure #DrivenByTheBest #BMWIndonesia","https://www.instagram.com/reel/CluqSN8N47S/","17952607391503452","1181","23200","5,09","23998"
"INSTAGRAM","BMW Indonesia","2022-12-03 14:25:20","REELS","REELS","No","No","No","This is the Joy of Evolution.  Step inside to discover the latest generation of THE NEW 3 and THE M4 CSL, which have been modernized and enhanced with best-in-class features.  Witness the evolution of the legacy at Plaza Senayan Fountain and Wing Area from 2-4 December, 2022, for the exclusive launch as well as a test drive for our newest and favorite models.  #JoyofEvolution #Legacy3volved #TrackLegend #THENEW3 #THEM4 #SheerDrivingPleasure #DrivenByTheBest #BMWIndonesia","https://www.instagram.com/reel/CltWjKdOBU-/","18039382909399270","368","10648","3,46","9496"
"INSTAGRAM","BMW Indonesia","2022-12-03 09:40:23","REELS","REELS","No","No","No","Congratulations to @rhezacandra_ on winning a test drive with @bayu_ario to experience THE NEW 3.  It is now your opportunity to see The Legacy Evolved at Plaza Senayan Fountain Area. Only from 2-4 December 2022.  #JoyofEvolution #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure #TheTrackLegend #THEM4 #Legacy3volved #THENEW3","https://www.instagram.com/reel/Cls27wVP3GY/","18328895494021352","708","17075","4,15","17117"
"INSTAGRAM","BMW Indonesia","2022-12-03 08:56:55","REELS","REELS","No","No","No","We celebrated the progress, advancement, and innovation of BMW that is expressed on the new models; THE NEW 3 and THE M4 CSL.  BMW Joy of Evolution will be at Plaza Senayan fountain only until 4 December 2022.  #Legacy3volved #TrackLegend #THE3 #THEM4CSL #JoyofEvolution #SheerDrivingPleasure #BMWIndonesia #DrivenByTheBest","https://www.instagram.com/reel/ClsymE0vC_y/","18002577631534225","395","10803","3,66","10985"
